feature_set_description,model_type,LLM_name,r_Squared,RMSE,Spearman_rho,best_params_per_fold
prost_t5_model,SVR_rbf,prost_t5_model,-0.0004502763858829084,122.54711816617633,0.12089925721201365,"[{'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}]"
prost_t5_model,ElasticNet,prost_t5_model,-0.0812125404339985,127.39749412422789,0.3381008958604136,"[{'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}]"
prost_t5_model,Ridge,prost_t5_model,-0.11353753590547844,129.28786955460345,0.318071157359804,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
prot_t5_model,Lasso,prot_t5_model,0.2672824891744283,104.87540086257282,0.524402385163652,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
prot_t5_model,ElasticNet,prot_t5_model,0.05510225654410861,119.09615879828254,0.4389625030646528,"[{'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}]"
prot_t5_model,SVR_rbf,prot_t5_model,0.02098923103764727,121.22692329038274,0.24309336443001348,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}]"
prot_t5_model,Ridge,prot_t5_model,0.0009891578697122094,122.45892686891122,0.40040401478388266,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
protbert_model,Lasso,protbert_model,0.24540034850526393,106.42989866818401,0.5366463215576632,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
protbert_model,SVR_rbf,protbert_model,0.019091574360896257,121.34435596740924,0.21276460171342698,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}]"
protbert_model,ElasticNet,protbert_model,0.0004822502594439282,122.48999134136106,0.3971449133601259,"[{'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.1}, {'alpha': 1, 'l1_ratio': 0.1}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.5}]"
protbert_model,Ridge,protbert_model,-0.04253585513223079,125.09813888659914,0.38077336786692395,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
