feature_set_description,model_type,LLM_name,r_Squared,RMSE,Spearman_rho,best_params_per_fold
CDR and ankh_model,Lasso,ankh_model,0.33724963736094427,99.74251977969277,0.5459567269304425,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
CDR and ankh_model,ElasticNet,ankh_model,0.07590833206358893,117.77764758181836,0.4000342836791799,"[{'alpha': 1, 'l1_ratio': 0.1}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.5}]"
CDR and ankh_model,Ridge,ankh_model,0.06579400905290667,118.42044058104936,0.38543096324645687,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR and ankh_model,SVR_rbf,ankh_model,0.025825858633262033,120.92710256345256,0.2501890523207073,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}]"
CDR and esmc_model,Lasso,esmc_model,0.31501614032100045,101.40176576341445,0.5592133333283766,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
CDR and esmc_model,ElasticNet,esmc_model,0.04061190870002418,120.00587564339413,0.36433273638681585,"[{'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.5}]"
CDR and esmc_model,SVR_rbf,esmc_model,0.021939784262626327,121.16805742756267,0.2204426709739554,"[{'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}]"
CDR and esmc_model,Ridge,esmc_model,0.0042247563657249465,122.26045591672542,0.3295862836106385,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR and prost_t5_model,Lasso,prost_t5_model,0.2943056199868703,102.9232941957698,0.5026509043391606,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
CDR and prost_t5_model,ElasticNet,prost_t5_model,0.03877694399847098,120.12058488064399,0.3564515583979774,"[{'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}]"
CDR and prost_t5_model,SVR_rbf,prost_t5_model,-0.0009684246703567378,122.57884855852241,0.11720279949761346,"[{'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}]"
CDR and prost_t5_model,Ridge,prost_t5_model,-0.048691756216608484,125.4669311499143,0.3180860314173443,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR and prot_t5_model,Lasso,prot_t5_model,0.3133550901552422,101.52463831763853,0.5504895800116366,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
CDR and prot_t5_model,ElasticNet,prot_t5_model,0.1562025760009471,112.54454406515815,0.45627322000207593,"[{'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.9}]"
CDR and prot_t5_model,Ridge,prot_t5_model,0.0458336417826849,119.67884758862346,0.3877310136851157,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR and prot_t5_model,SVR_rbf,prot_t5_model,0.01921774091357653,121.33655193035568,0.2360894310667924,"[{'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}]"
CDR and protbert_model,Lasso,protbert_model,0.3027955325799385,102.30230738149554,0.5641760448710667,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
CDR and protbert_model,ElasticNet,protbert_model,0.08348966945728842,117.29352298128524,0.41525865728786804,"[{'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.9}]"
CDR and protbert_model,Ridge,protbert_model,0.02865196395807823,120.75156877920354,0.38863863916874464,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR and protbert_model,SVR_rbf,protbert_model,0.017747912609473948,121.42743710334064,0.2030254917779428,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}]"
ankh_model,Lasso,ankh_model,0.2760100415709148,104.24893329746557,0.5080699576780988,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
ankh_model,ElasticNet,ankh_model,0.054299585035542774,119.14673294834427,0.40463491300439286,"[{'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.5}]"
ankh_model,Ridge,ankh_model,0.04271456431020482,119.87429727701755,0.4004145634601025,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
ankh_model,SVR_rbf,ankh_model,0.028479064880074012,120.76231513640948,0.2588174849202223,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}]"
esmc_model,Lasso,esmc_model,0.2495714733430714,106.13534011354191,0.5221687029740996,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
esmc_model,SVR_rbf,esmc_model,0.02452549772333079,121.00778446114964,0.23333671798300704,"[{'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}]"
esmc_model,ElasticNet,esmc_model,-0.0342158433976012,124.59796285831328,0.367073714154574,"[{'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.5}]"
esmc_model,Ridge,esmc_model,-0.04777074387289759,125.41182345280481,0.32913847682712644,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
prost_t5_model,Lasso,prost_t5_model,0.2270065257590812,107.71923544730474,0.4634174112394881,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
