feature_set_description,model_type,LLM_name,r_Squared,RMSE,Spearman_rho
CDR and ankh_model,ElasticNet,ankh_model,0.11325676408045182,115.37302792656406,0.40253915420276426
CDR and esmc_model,ElasticNet,esmc_model,0.06676216342585939,118.35906279724497,0.3571556823809186
CDR and prost_t5_model,ElasticNet,prost_t5_model,0.011206678715222518,121.8310846453395,0.3347837031476423
CDR and prot_t5_model,ElasticNet,prot_t5_model,0.12821250071958146,114.3959547189678,0.42339168486611056
CDR and protbert_model,ElasticNet,protbert_model,0.0687003015916875,118.23609551408825,0.41060229681640775
ankh_model,ElasticNet,ankh_model,0.07783652906795868,117.65470680437927,0.408761643047232
esmc_model,ElasticNet,esmc_model,0.002994654296538779,122.33594806396009,0.35447771569172554
prost_t5_model,ElasticNet,prost_t5_model,-0.058848536770848,126.07305271722339,0.3293991170353918
prot_t5_model,ElasticNet,prot_t5_model,0.06819102484647077,118.26841951472278,0.42460795237032073
protbert_model,ElasticNet,protbert_model,-0.0024768351603086103,122.67117395579321,0.40092353708771006
