feature_set_description,model_type,LLM_name,r_Squared,RMSE,Spearman_rho,best_params_per_fold
CDR_and_ankh_model,Lasso,ankh_model,0.11531270410508809,115.23920244886459,0.3603797000367297,"[{'alpha': 100}, {'alpha': 50}, {'alpha': 50}, {'alpha': 50}, {'alpha': 50}]"
CDR_and_ankh_model,ElasticNet,ankh_model,0.08953409595561879,116.90610515801426,0.33760203138085004,"[{'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}]"
CDR_and_ankh_model,SVR_rbf,ankh_model,0.03434053655307645,120.39746670351217,0.2715290792933133,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}]"
CDR_and_ankh_model,Ridge,ankh_model,-0.051793574068183856,125.65234703293922,0.30184465616462497,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR_and_esmc_model,Lasso,esmc_model,0.06765431483067108,118.30247515773114,0.2696575683206422,"[{'alpha': 100}, {'alpha': 50}, {'alpha': 50}, {'alpha': 100}, {'alpha': 100}]"
CDR_and_esmc_model,ElasticNet,esmc_model,0.035069306147033075,120.352026992667,0.3255615965322468,"[{'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}]"
CDR_and_esmc_model,SVR_rbf,esmc_model,0.0315792665188952,120.56948003299243,0.257101566921794,"[{'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}]"
CDR_and_esmc_model,Ridge,esmc_model,-0.01413890016081254,123.38264306439787,0.3469525537933924,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR_and_prost_t5_model,Lasso,prost_t5_model,0.05170793820043251,119.30987921769183,0.1828538302920519,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 50}, {'alpha': 100}, {'alpha': 50}]"
CDR_and_prost_t5_model,ElasticNet,prost_t5_model,0.043152228379416346,119.8468913076099,0.27726360340332745,"[{'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}]"
CDR_and_prost_t5_model,SVR_rbf,prost_t5_model,0.005886017399417631,122.15842922217949,0.14630750200021753,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}]"
CDR_and_prost_t5_model,Ridge,prost_t5_model,-0.0674693129488142,126.5852337837746,0.26580686197222236,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR_and_prot_t5_model,Lasso,prot_t5_model,0.12437553750688168,114.64742148443581,0.3335930948891325,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 50}, {'alpha': 100}]"
CDR_and_prot_t5_model,ElasticNet,prot_t5_model,0.08893532965109796,116.94454038731917,0.36778750791211695,"[{'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}]"
CDR_and_prot_t5_model,SVR_rbf,prot_t5_model,0.029254840957536832,120.71409012066508,0.26526843995683436,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}]"
CDR_and_prot_t5_model,Ridge,prot_t5_model,-0.052325827359428256,125.68413578795008,0.3429093341039604,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR_and_protbert_model,Lasso,protbert_model,0.03462402726194158,120.37979273569009,0.2564444722989327,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 50}]"
CDR_and_protbert_model,SVR_rbf,protbert_model,0.022194489931055772,121.15227915537591,0.22770504346613638,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}]"
CDR_and_protbert_model,ElasticNet,protbert_model,0.016736817908761026,121.48991753024029,0.29223481212834473,"[{'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}, {'alpha': 5, 'l1_ratio': 0.1}]"
CDR_and_protbert_model,Ridge,protbert_model,-0.017719034577897252,123.60023519376689,0.3182939981449483,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
