feature_set_description,model_type,LLM_name,r_Squared,RMSE,Spearman_rho,best_params_per_fold
CDR and ankh_model,Lasso,ankh_model,0.33724963736094427,99.74251977969277,0.5459567269304425,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
CDR and ankh_model,ElasticNet,ankh_model,0.07767979597963914,117.66470481593454,0.39895304460425146,"[{'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.1}]"
CDR and ankh_model,Ridge,ankh_model,0.06579400905290667,118.42044058104936,0.38543096324645687,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR and ankh_model,SVR_rbf,ankh_model,0.02583201427468884,120.92672050390775,0.2506422057704029,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}]"
CDR and esmc_model,Lasso,esmc_model,0.31501614032100045,101.40176576341445,0.5592133333283766,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
CDR and esmc_model,ElasticNet,esmc_model,0.05158321655529885,119.31772492038606,0.3614437183219764,"[{'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.1}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.5}]"
CDR and esmc_model,SVR_rbf,esmc_model,0.02193224569915364,121.16852438824515,0.21999259422081444,"[{'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}]"
CDR and esmc_model,Ridge,esmc_model,0.0042247563657249465,122.26045591672542,0.3295862836106385,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR and prost_t5_model,Lasso,prost_t5_model,0.2943056199868703,102.9232941957698,0.5026509043391606,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
CDR and prost_t5_model,ElasticNet,prost_t5_model,0.03877694399847098,120.12058488064399,0.3564515583979774,"[{'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}]"
CDR and prost_t5_model,SVR_rbf,prost_t5_model,-0.0009929548509286512,122.58035053540479,0.11746739540131548,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}]"
CDR and prost_t5_model,Ridge,prost_t5_model,-0.048691756216608484,125.4669311499143,0.3180860314173443,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR and prot_t5_model,Lasso,prot_t5_model,0.3133550901552422,101.52463831763853,0.5504895800116366,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
CDR and prot_t5_model,ElasticNet,prot_t5_model,0.16002627987039264,112.28925433166569,0.4654048553763499,"[{'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}]"
CDR and prot_t5_model,Ridge,prot_t5_model,0.0458336417826849,119.67884758862346,0.3877310136851157,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR and prot_t5_model,SVR_rbf,prot_t5_model,0.0191648208373697,121.33982536485213,0.23557957849487488,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}]"
CDR and protbert_model,Lasso,protbert_model,0.3027955325799385,102.30230738149554,0.5641760448710667,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
CDR and protbert_model,ElasticNet,protbert_model,0.09436306707742681,116.59566698110248,0.4229130387878191,"[{'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.1}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.9}]"
CDR and protbert_model,Ridge,protbert_model,0.02865196395807823,120.75156877920354,0.38863863916874464,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR and protbert_model,SVR_rbf,protbert_model,0.017849055666728675,121.42118521619449,0.20345227354288412,"[{'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}]"
CDR_only,Lasso,CDR_only,0.2672824891744283,104.87540086257282,0.524402385163652,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
