,prot_t5_model,esmc_model,protbert_model,ankh_model,prost_t5_model
prot_t5_model,1.0,0.8329093562111035,0.8390861784044161,0.8702744277627368,0.8649537639323511
esmc_model,0.8329093562111035,1.0,0.8642294574733658,0.8383179213107836,0.8205161562532961
protbert_model,0.8390861784044161,0.8642294574733658,1.0,0.8672040364262859,0.8297132660595619
ankh_model,0.8702744277627368,0.8383179213107836,0.8672040364262859,1.0,0.8778269048205056
prost_t5_model,0.8649537639323511,0.8205161562532961,0.8297132660595619,0.8778269048205056,1.0
