base_learner,spearman_rho,weight
CDR_and_prot_t5_model__Lasso,0.3534026297736528,0.22347640399908947
CDR_and_protbert_model__Lasso,0.34695694907515073,0.21940043675246723
CDR_and_ankh_model__Lasso,0.30528396414047076,0.1930482592854369
CDR_and_esmc_model__Lasso,0.2896367610810317,0.1831536507631217
CDR_and_prost_t5_model__Lasso,0.28610647077278967,0.1809212491998847
