feature_set_description,model_type,LLM_name,r_Squared,RMSE,Spearman_rho,best_params_per_fold
CDR and ankh_model,Lasso,ankh_model,0.11918053842188492,114.98701481818335,0.30528396414047076,"[{'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}]"
CDR and esmc_model,Lasso,esmc_model,0.06536973698396031,118.44732800345618,0.2896367610810317,"[{'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}]"
CDR and prost_t5_model,Lasso,prost_t5_model,0.11552353222942924,115.22547041459023,0.28610647077278967,"[{'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}]"
CDR and prot_t5_model,Lasso,prot_t5_model,0.14017680260457255,113.60826500359683,0.3534026297736528,"[{'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}]"
CDR and protbert_model,Lasso,protbert_model,0.11721227946492585,115.11541679955165,0.34695694907515073,"[{'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}]"
CDR_only,Lasso,CDR_only,0.06741866224356607,118.31742482898623,0.11189794302676495,"[{'alpha': 12}, {'alpha': 15}, {'alpha': 12}, {'alpha': 15}, {'alpha': 12}]"
ankh_model,Lasso,ankh_model,0.11809402617785403,115.05791260210367,0.30513760125792044,"[{'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}]"
esmc_model,Lasso,esmc_model,0.05845192951102329,118.88487277814689,0.2805846782998758,"[{'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}]"
prost_t5_model,Lasso,prost_t5_model,0.11338714354232649,115.36454586228075,0.2885142061199697,"[{'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}]"
prot_t5_model,Lasso,prot_t5_model,0.13694111825536404,113.82182943000333,0.35693204102554316,"[{'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}]"
protbert_model,Lasso,protbert_model,0.09381686599149242,116.63082184186464,0.34766151274100127,"[{'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 15}, {'alpha': 12}]"
