feature_set_description,model_type,LLM_name,r_Squared,RMSE,Spearman_rho,best_params_per_fold
CDR and ankh_model,Lasso,ankh_model,0.2844319533152003,103.6408146648284,0.5146510130547555,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
CDR and ankh_model,Ridge,ankh_model,0.061256417652119866,118.70768593511104,0.41156398425378315,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR and ankh_model,ElasticNet,ankh_model,0.05765260509322523,118.93532555103619,0.4099839709042067,"[{'alpha': 1, 'l1_ratio': 0.1}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.1}]"
CDR and ankh_model,SVR_rbf,ankh_model,0.02530539145090882,120.95940181131915,0.248305234973088,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'scale'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}]"
CDR and esmc_model,Lasso,esmc_model,0.25906159585144173,105.4620967001156,0.5194282447978187,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
CDR and esmc_model,SVR_rbf,esmc_model,0.02218068424244346,121.15313443013129,0.2193609923709477,"[{'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}]"
CDR and esmc_model,ElasticNet,esmc_model,0.010256957711227588,121.88957905843739,0.36257909902856766,"[{'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.5}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.1}, {'alpha': 1, 'l1_ratio': 0.1}]"
CDR and esmc_model,Ridge,esmc_model,-0.043856825488652884,125.17736811364938,0.3302165668762676,"[{'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}, {'alpha': 100}]"
CDR and prost_t5_model,Lasso,prost_t5_model,0.24117212446287117,106.72765976211825,0.4780154605432282,"[{'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}, {'alpha': 10}]"
CDR and prost_t5_model,SVR_rbf,prost_t5_model,-0.0015070380710364706,122.6118234904337,0.1162384748917626,"[{'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.1, 'gamma': 'auto'}, {'C': 10, 'epsilon': 0.01, 'gamma': 'auto'}]"
CDR and prost_t5_model,ElasticNet,prost_t5_model,-0.004057643219607554,122.76785608638754,0.3665958664668186,"[{'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.1}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}, {'alpha': 1, 'l1_ratio': 0.9}]"
